path,ssName,ssRegion,ssId,confidence
"Columns (USA, Europe, Brazil).zip",Columns,,12952,93
Cool Spot (Europe).zip,Cool Spot,eu,12892,95
Cool Spot (USA).zip,Cool Spot,us,12892,95
"Cosmic Spacehead (USA, Europe).zip",Cosmic Spacehead,"us,eu",13061,97
Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan).zip,Crayon Shin-chan - Taiketsu! Quantum Panic!!,jp,88425,93
Crazy Faces (Europe) (Proto).zip,Crazy Faces,eu,88426,92
"Crystal Warriors (USA, Europe).zip",Crystal Warriors,"us,eu",12968,97
CutThroat Island (USA).zip,Cutthroat Island,us,13016,91
CutThroat Island (USA) (Beta).zip,Cutthroat Island,us,13016,88
"Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It).zip",Daffy Duck In Hollywood,,88427,92
David Robinson's Supreme Court (USA) (Auto Demo).zip,David Robinson's Supreme Court,us,140720,97
"Deep Duck Trouble Starring Donald Duck (USA, Europe).zip",Deep Duck Trouble Starring Donald Duck,"us,eu",12877,99
"Defenders of Oasis (USA, Europe).zip",Defenders Of Oasis,"us,eu",12928,92
"Defenders of Oasis (USA, Europe) (Beta).zip",Defenders Of Oasis,"us,eu",12928,89
"Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe) (En,Fr,De,Es,It).zip",Desert Speedtrap Starring Road Runner And Wile E. Coyote,eu,12990,96
"Desert Speedtrap Starring Road Runner and Wile E. Coyote (USA, Brazil).zip",Desert Speedtrap Starring Road Runner And Wile E. Coyote,,12990,97
"Desert Strike (Europe) (En,Fr,De,Es).zip",Desert Strike,eu,12881,93
Desert Strike - Return to the Gulf (USA).zip,Desert Strike - Return to the Gulf,us,12881,
"Devilish (Europe, Brazil).zip",Devilish,,12937,94
Devilish (Japan).zip,Devilish,jp,12937,94
Devilish (USA).zip,Devilish,us,12937,94
Donald Duck no 4-Tsu no Hihou (Japan).zip,Donald Duck no 4-Tsu no Hihou,jp,12877,
Donald Duck no Lucky Dime (Japan).zip,Donald Duck no Lucky Dime,jp,12940,
"Donald no Magical World (Japan) (En,Ja).zip",Donald No Magical World,jp,88428,92
Doraemon - Noranosuke no Yabou (Japan).zip,Doraemon - Nora No Suke No Yabou,jp,71579,86
Doraemon - Waku Waku Pocket Paradise (Japan).zip,Doraemon - Waku Waku Pocket Paradise,jp,88429,99
"Double Dragon (USA, Europe).zip",Double Dragon,"us,eu",88430,
"Double Dragon (USA, Europe) (Beta).zip",Double Dragon,"us,eu",88430,
Dr. Franken (Europe) (Proto).zip,Dr. Franken,eu,102112,92
"Dr. Robotnik's Mean Bean Machine (USA, Europe).zip",Dr. Robotnik's Mean Bean Machine,"us,eu",12883,98
Dragon - The Bruce Lee Story (Europe).zip,Dragon - The Bruce Lee Story,eu,12914,98
Dragon - The Bruce Lee Story (Europe) (Beta).zip,Dragon - The Bruce Lee Story,eu,12914,97
Dragon - The Bruce Lee Story (USA).zip,Dragon - The Bruce Lee Story,us,12914,98
"Dragon Crystal (USA, Europe).zip",Dragon Crystal,"us,eu",12920,97
Dragon Crystal - Tsurani no Meikyuu (Japan).zip,Dragon Crystal,jp,12920,56
Dropzone (Europe).zip,Dropzone,eu,13063,94
