path,ssName,ssRegion,ssId,confidence
3-D Genesis (USA) (Proto).zip,3d Genesis,us,123512,46
3-D Ghost Attack (USA) (Proto).zip,3d Ghost Attack,us,123513,57
3-D Havoc (USA) (Proto).zip,3d Havoc,us,123514,40
3-D Tic-Tac-Toe (Europe).zip,3-d Tic-tac-toe,eu,14001,56
3-D Tic-Tac-Toe (USA).zip,3-d Tic-tac-toe,us,14001,60
3-D Zapper (USA) (Proto) (1982-12-15).zip,3d Zapper,us,126645,32
3-D Zapper (USA) (Proto) (Earlier).zip,3d Zapper,us,126645,32
4 Game in One (Europe) (Bit Corporation).zip,,,,
32 in 1 Game Cartridge (Europe).zip,32-in-1 Game Cartridge,eu,37908,70
"Abre-te, Sesamo! (Brazil) (Unl).zip",,,,
Acid Drop (Europe).zip,Acid Drop,eu,13997,58
Action Man - Action Force (Europe).zip,,,,
Actionauts (USA) (Proto) (1984-06-22).zip,Actionauts,us,37663,39
"Activision Decathlon, The (Europe).zip","Activision Decathlon, The",eu,14008,79
"Activision Decathlon, The (France).zip","Activision Decathlon, The",fr,14008,79
"Activision Decathlon, The (USA).zip","Activision Decathlon, The",us,14008,83
Adventure (Europe).zip,Adventure,eu,13992,58
Adventure (USA).zip,Adventure,us,13992,64
Adventures of TRON (USA).zip,,,,
Air Raid (USA).zip,Air Raid,us,14000,62
Air Raiders (Europe).zip,,,,
Air Raiders (USA).zip,,,,
Air-Sea Battle (Europe).zip,Air-sea Battle,eu,13999,63
"Air-Sea Battle ~ Target Fun (Japan, USA).zip",Air-sea Battle,"us,jp",13999,45
Airlock (Europe).zip,Airlock,eu,37665,52
Airlock (USA).zip,Airlock,us,37665,58
Airlock (USA) (Proto).zip,Airlock,us,37665,44
Alien (Brazil) (Unl).zip,Alien,br,37667,43
Alien (USA).zip,Alien,us,37667,50
Aliens Return (Europe).zip,,eu,,
Alligator People (USA) (Proto).zip,"Alligator People, The",us,37668,62
Alpha Beam (Europe) (Beta) (1983-06-03).zip,,,,
"Alpha Beam (Japan, USA) (Beta) (1982-12-22).zip",,,,
Alpha Beam with Ernie (Europe).zip,Alpha Beam With Ernie,eu,51138,73
"Alpha Beam with Ernie (Japan, USA).zip",Alpha Beam With Ernie,"us,jp",51138,68
Amidar (Europe).zip,Amidar,eu,37669,55
Amidar (USA).zip,Amidar,us,37669,55
AndroMan on the Moon (USA) (Proto).zip,Androman On The Moon,us,87699,59
Apples and Dolls (Brazil) (Unl).zip,,,,
Aquaventure (Brazil) (Proto) (Unl).zip,Aquaventure,br,51182,45
Aquaventure (USA) (Proto) (1983-08-12).zip,Aquaventure,us,51182,45
Armor Ambush (Europe).zip,Armor Ambush,eu,58688,65
Armor Ambush (USA).zip,Armor Ambush,us,58688,71
Artillery Duel (Europe).zip,Artillery Duel,eu,58689,68
Artillery Duel (USA).zip,Artillery Duel,us,58689,74
Assault (USA).zip,Assault,us,37670,58
Asteroids (Europe).zip,Asteroids,eu,13987,
"Asteroids (Japan, USA).zip",Asteroids,"us,jp",13987,
Astroblast (Europe).zip,Astroblast,eu,51184,61
Astroblast (USA).zip,Astroblast,us,51184,67
Astroblast (USA) (v1.1).zip,Astroblast,us,51184,54
Astrowar (Brazil) (Unl).zip,Astrowar,br,51185,46
Atari Video Cube (USA).zip,Atari Video Cube,us,58692,76
Atlantis (Europe).zip,Atlantis,eu,37677,
Atlantis (USA).zip,Atlantis,us,37677,
Atlantis II (USA).zip,Atlantis 2,us,51186,58
Atom Smasher (USA) (Proto).zip,Atom Smasher,us,51187,57
Bachelor Party (USA).zip,Bachelor Party,us,110929,74
Bachelorette Party (USA).zip,Bachelorette Party - Burning Desire,us,37679,
