path,ssName,ssRegion,ssId,confidence
7800 Monitor Cart (USA) (Program) (Unl).zip,,,,
[BIOS] Atari 7800 (USA).zip,,,,
Ace of Aces (USA).zip,Ace Of Aces,us,37995,62
Alien Brigade (USA).zip,Alien Brigade,us,37996,72
Asteroids (USA).zip,Asteroids,us,37997,64
Atari 7800 Developement Card (USA).zip,,,,
Ballblazer (USA).zip,Ballblazer,us,37999,67
Barnyard Blaster (USA).zip,Barnyard Blaster,us,38000,76
Basketbrawl (USA).zip,Basketbrawl,us,38001,69
Centipede (USA).zip,Centipede,us,38004,64
Choplifter! (USA).zip,Choplifter!,us,38005,69
Commando (USA).zip,Commando,us,38006,62
Crack'ed (USA).zip,Crack'ed,us,38007,62
Crossbow (USA).zip,Crossbow,us,38008,62
Dark Chambers (USA).zip,Dark Chambers,us,38010,72
Desert Falcon (USA).zip,Desert Falcon,us,38011,72
Diagnostic Test Cartrige (USA).zip,,,,
Dig Dug (USA).zip,Dig Dug,us,38012,58
Donkey Kong (USA).zip,Donkey Kong,us,38013,69
Donkey Kong Junior (USA).zip,Donkey Kong Junior,us,38014,78
Double Dragon (USA).zip,Double Dragon,us,38015,72
F-18 Hornet (USA).zip,F-18 Hornet,us,38016,69
Fatal Run (USA).zip,Fatal Run,us,38017,64
Fight Night (USA).zip,Fight Night,us,38018,69
Food Fight (USA).zip,Food Fight,us,38019,67
Galaga (USA).zip,Galaga,us,38020,55
GATO (USA) (Proto).zip,GATO,us,108709,
Hat Trick (USA).zip,Hat Trick,us,38021,64
High Score Cartridge (USA) (Proto).zip,,,,
Ikari Warriors (USA).zip,Ikari Warriors,us,38022,74
Impossible Mission (USA).zip,Impossible Mission,us,38023,78
Jinks (USA).zip,Jinks,us,38024,50
Joust (USA).zip,Joust,us,38025,50
Karateka (USA).zip,Karateka,us,38026,62
Klax (USA) (Proto).zip,Klax,us,38027,
Kung-Fu Master (USA).zip,Kung-fu Master,us,38028,68
Mario Bros. (USA).zip,Mario Bros.,us,38029,69
Mat Mania Challenge (USA).zip,Mat Mania Challenge,us,38030,79
Mean 18 Ultimate Golf (USA).zip,Mean 18,us,38031,37
Meltdown (USA).zip,Meltdown,us,38032,62
Midnight Mutants (USA).zip,Midnight Mutants,us,38033,76
Missing in Action (USA) (Proto).zip,Missing In Action,us,44465,62
Motor Psycho (USA).zip,Motorpsycho,us,38034,61
Ms. Pac-Man (USA).zip,Ms. Pac-man,us,38035,62
Ninja Golf (USA).zip,Ninja Golf,us,38036,67
One-on-One Basketball (USA).zip,One-on-one Basketball,us,38037,77
Pete Rose Baseball (USA).zip,Pete Rose Baseball,us,44466,78
Pit Fighter (USA) (Proto).zip,Pit Fighter,us,44467,55
Planet Smashers (USA).zip,Planet Smashers,us,38040,75
Plutos (USA) (Proto).zip,Plutos,us,44468,40
Pole Position II (USA).zip,Pole Position II,us,38041,
Rampage (USA).zip,Rampage,us,38042,58
Rampart (USA) (Proto).zip,Rampart,us,44469,44
RealSports Baseball (USA).zip,Realsports Baseball,us,38043,75
Rescue on Fractalus (USA) (Proto).zip,Rescue On Fractalus,us,44470,64
Robotron - 2084 (USA).zip,Robotron - 2084,us,38044,75
Scrapyard Dog (USA).zip,Scrapyard Dog,us,38046,72
Sentinel (USA) (Proto).zip,Sentinel,us,38047,47
Sirius (USA) (Proto).zip,Sirius,us,44471,40
Summer Games (USA).zip,Summer Games,us,38049,71
Super Huey UH-IX (USA).zip,Super Huey Uh-ix,us,38050,67
Super Skateboardin' (USA).zip,Super Skateboardin',us,38051,79
Tank Command (USA).zip,Tank Command,us,38052,71
Title Match Pro Wrestling (USA).zip,Title Match Pro Wrestling,us,38053,83
Tomcat - The F-14 Fighter Simulator (USA).zip,Tomcat - The F-14 Fighter Simulator,us,38009,88
Touchdown Football (USA).zip,Touchdown Football,us,38054,78
Tower Toppler (USA).zip,Tower Toppler,us,38055,72
Water Ski (USA).zip,Water Ski,us,38056,64
Winter Games (USA).zip,Winter Games,us,38057,71
Xenophobe (USA).zip,Xenophobe,us,38058,64
Xevious (USA).zip,Xevious,us,38059,58
