path,ssName,ssRegion,ssId,confidence
"Dynamite Duke (Europe, Brazil).zip",Dynamite Duke,,919,55
"Dynamite Dux (Europe, Brazil).zip",Dynamite Dux,,868,
"E-SWAT (USA, Europe, Brazil) (Rev 1).zip",E-SWAT,,928,
"Ecco the Dolphin (Europe, Brazil).zip",Ecco The Dolphin,,790,57
"Enduro Racer ~ Super Cross (USA, Europe, Brazil).zip",Enduro Racer ~ Super Cross,,844,
"Excellent Dizzy Collection, The (Europe) (En,Fr,De,Es,It) (Proto).zip",Excellent Dizzy Collection,eu,97418,55
"F1 (Europe, Brazil).zip",,,875,
F-16 Fighting Falcon (USA).zip,F-16 Fighter,us,989,48
"Fantastic Dizzy (Europe) (En,Fr,De,Es,It).zip",Fantastic Dizzy,eu,990,50
Fantasy Zone (World).zip,Fantasy Zone,wor,801,
"Fantasy Zone - The Maze (USA, Europe, Brazil).zip",Fantasy Zone  - The Maze,,964,63
"Fantasy Zone II (USA, Europe, Brazil).zip",,,848,
Fire & Forget II (Europe).zip,Fire And Forget 2,eu,961,57
"Flash, The (Europe, Brazil).zip","Flash, The",,816,49
"Flintstones, The (Europe, Brazil).zip","Flintstones, The",,999,60
"Forgotten Worlds (Europe, Brazil).zip",Forgotten Worlds,,903,60
Fushigi no Oshiro Pit Pot (Japan).zip,Fushigi No Oshiro Pit Pot,jp,44259,77
"G-LOC Air Battle (Europe, Brazil).zip",G-loc Air Battle,,18493,49
"Gain Ground (Europe, Brazil).zip",Gain Ground,,876,51
Galactic Protector (Japan).zip,Galactic Protector,jp,18486,75
Galaxy Force (USA).zip,Galaxy Force,us,863,71
"Gangster Town (USA, Europe, Brazil).zip",Gangster Town,,885,50
"Gauntlet (Europe, Brazil).zip",Gauntlet,,851,43
"Ghost House (USA, Europe, Brazil).zip",Ghost House,,833,46
"Ghostbusters (USA, Europe, Brazil).zip",Ghostbusters,,807,48
"Ghouls'n Ghosts (USA, Europe).zip",Ghouls'n Ghosts,"us,eu",810,62
"Global Defense (USA, Europe, Brazil).zip",Global Defense,,938,52
"Global Gladiators (Europe, Brazil).zip",Global Gladiators,,954,62
"Golden Axe (USA, Europe, Brazil).zip",Golden Axe,,784,
"Golden Axe Warrior (USA, Europe, Brazil).zip",Golden Axe Warrior,,794,58
"Golfamania (Europe, Brazil).zip",Golfamania,,1002,49
"Golvellius - Valley of Doom (USA, Europe, Brazil).zip",Golvellius - Valley Of Doom,,862,65
"GP Rider (Europe, Brazil).zip",Gp Rider,,18494,
Great Baseball (Japan).zip,Great Baseball (1985),jp,172290,72
"Great Baseball (USA, Europe).zip",Great Baseball (1985),"us,eu",172290,64
Great Basketball (World).zip,Great Basketball,wor,1008,73
Great Football (World).zip,Great Football,wor,983,70
Great Golf (Japan).zip,Great Golf (1986),jp,172292,67
Great Golf ~ Masters Golf (World).zip,Great Golf,wor,1003,
"Great Ice Hockey (Japan, USA).zip",Great Ice Hockey,"us,jp",969,65
Great Soccer (Europe).zip,Great Soccer,eu,18495,65
"Great Volleyball (USA, Europe, Brazil).zip",Great Volleyball,,978,55
Hang On (Europe).zip,Hang-on,eu,845,
Hang-On & Astro Warrior (USA).zip,Hang-on And Astro Warrior,us,18496,72
Hang-On & Safari Hunt (USA).zip,Hang On And Safari Hunt,us,925,70
"Heroes of the Lance (Europe, Brazil).zip",Heroes Of The Lance,,943,58
High School! Kimengumi (Japan).zip,High School Kimengumi,jp,963,76
Home Alone (Europe).zip,Home Alone,eu,44253,61
Hook (Europe) (Proto).zip,Hook,eu,883,
Hoshi wo Sagashite... (Japan).zip,Hoshi Wo Sagashite...,jp,18498,74
"Impossible Mission (Europe, Brazil).zip",Impossible Mission,,933,63
"Incredible Crash Dummies, The (Europe, Brazil).zip","Incredible Crash Dummies, The",,955,73
"Incredible Hulk, The (Europe, Brazil).zip","Incredible Hulk, The",,18499,66
"Indiana Jones and the Last Crusade (Europe, Brazil).zip",Indiana Jones and the Last Crusade - The Action Game,,798,71
James 'Buster' Douglas Knockout Boxing (USA).zip,James 'Buster' Douglas Knockout Boxing,us,984,
James Bond 007 - The Duel (Europe).zip,James Bond 007 - The Duel,eu,846,79
"James Pond 2 - Codename RoboCod (Europe, Brazil).zip",James Pond 2 - Codename Robocod,,953,72
"Joe Montana Football (USA, Europe, Brazil).zip",Joe Montana Football,,18502,61
"Jungle Book, The (Europe, Brazil).zip","Jungle Book, The",,786,60
"Jurassic Park (Europe, Brazil).zip",Jurassic Park,,782,55
"Kenseiden (USA, Europe, Brazil).zip",Kenseiden,,822,
King's Quest - Quest for the Crown (USA).zip,King's Quest - Quest For The Crown,us,823,82
Klax (Europe).zip,Klax,eu,988,
"Krusty's Fun House (Europe, Brazil).zip",Krusty's Fun House,,904,63
"Kung Fu Kid (USA, Europe, Brazil).zip",Kung Fu Kid,,827,46
"Land of Illusion Starring Mickey Mouse (Europe, Brazil).zip",Land Of Illusion Starring Mickey Mouse,,771,76
Laser Ghost (Europe).zip,Laser Ghost,eu,970,63
Lemmings 2 - The Tribes (Europe) (Proto).zip,Lemmings 2 - The Tribes,eu,78362,69
"Lemmings (Europe, Brazil).zip",Lemmings,,780,
"Line of Fire (Europe, Brazil).zip",Line Of Fire,,18503,49
"Lion King, The (Europe, Brazil).zip","Lion King, The",,776,57
"Lord of the Sword (USA, Europe, Brazil).zip",Lord Of The Sword,,881,50
Loretta no Shouzou - Sherlock Holmes (Japan).zip,Loretta No Shouzou - Sherlock Holmes,jp,44249,83
"Lucky Dime Caper Starring Donald Duck, The (Europe, Brazil).zip","Lucky Dime Caper Starring Donald Duck, The",,781,80
"Mahjong Sengoku Jidai (Japan, Hong Kong).zip",Mahjong Sengoku Jidai,,44273,65
Marble Madness (Europe).zip,Marble Madness,eu,905,68
Marksman Shooting & Trap Shooting & Safari Hunt (Europe).zip,Marksman Shooting + Trap Shooting + Safari Hunt,eu,64924,84
"Marksman Shooting & Trap Shooting (USA, Brazil).zip",Marksman Shooting + Trap Shooting,,64905,76
"Master of Darkness (Europe, Brazil).zip",Master Of Darkness,,809,60
"Masters of Combat (Europe, Brazil).zip",Masters Of Combat,,44274,58
"Maze Hunter 3-D (USA, Europe, Brazil).zip",Maze Hunter 3-d,,921,50
Megumi Rescue (Japan).zip,Megumi Rescue,jp,44275,68
"Mercs (Europe, Brazil).zip",Mercs,,932,
"Michael Jackson's Moonwalker (USA, Europe, Brazil).zip",Michael Jackson's Moonwalker,,800,68
Micro Machines (Europe).zip,Micro Machines,eu,927,68
"Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil).zip",Miracle Warriors - Seal Of The Dark Lord,,891,72
"Missile Defense 3-D (USA, Europe, Brazil).zip",Missile Defense 3-d,,18505,56
Monopoly (USA).zip,Monopoly,us,18507,62
Montezuma's Revenge featuring Panama Joe (USA).zip,Montezuma's Revenge,us,993,55
"Mortal Kombat (Europe, Brazil).zip",Mortal Kombat,,757,
"Mortal Kombat II (Europe, Brazil).zip",Mortal Kombat 2,,766,
"Ms. Pac-Man (Europe, Brazil).zip",Ms. Pac-man,,899,47
"My Hero (USA, Europe, Brazil).zip",My Hero,,922,
NBA Jam (Europe) (Proto).zip,NBA Jam,eu,44263,
Nekkyuu Koushien (Japan).zip,Nekkyuu Koushien,jp,44264,73
"NewZealand Story, The (Europe).zip","New Zealand Story, The",eu,906,75
"Ninja Gaiden (Europe, Brazil).zip",Ninja Gaiden,,788,53
"Ninja, The (USA, Europe, Brazil).zip","Ninja, The",,796,43
"Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv).zip",Olympic Gold,eu,967,38
"Operation Wolf (Europe, Brazil).zip",Operation Wolf,,930,57
"Ottifants, The (Europe, Brazil) (En,Fr,De,Es,It).zip","Ottifants, The",,18509,42
"OutRun 3-D (Europe, Brazil).zip",Outrun 3-d,,1004,
OutRun (World).zip,Outrun,wor,870,
"OutRun Europa (Europe, Brazil).zip",Out Run Europa,,975,54
Pac-Mania (Europe).zip,Pac-mania,eu,942,52
"Paperboy (USA, Brazil).zip",Paperboy,,865,47
"Parlour Games (USA, Europe).zip",Parlour Games,"us,eu",18510,59
Pat Riley Basketball (USA) (Proto).zip,Pat Riley Basketball,us,44261,69
"Penguin Land (USA, Europe).zip",Penguin Land,"us,eu",877,57
PGA Tour Golf (Europe).zip,Pga Tour Golf,eu,1010,56
"Phantasy Star (USA, Europe) (Rev 1).zip",Phantasy Star,"us,eu",768,50
Pit-Fighter (Europe).zip,Pit-fighter,eu,913,57
"Populous (Europe, Brazil).zip",Populous,,886,43
"Poseidon Wars 3-D (USA, Europe, Brazil).zip",Poseidon Wars 3-d,,982,53
"Power Strike (USA, Europe, Brazil).zip",Power Strike,,835,
"Power Strike II (Europe, Brazil).zip",Power Strike 2,,957,52
